Country Name,Country Code,lat,lng,1971,1976,1981,1986,1991,1996,2001,2006,2011,2016,2021
Turks and Caicos Islands,TCA,21.694025,-71.797928,4.353360176,4.53467989,,,10.00928974,14.9218502,15.3773098,20.77218056,27.10889053,28.86174011,26.42557907
Tuvalu,TUV,-7.109535,177.64933,92.4824295,103.2457199,99.19454956,99.52490234,95.55641174,89.29386139,101.6141891,99.72619629,104.3105316,97.9413681, 
Uganda,UGA,1.373333,32.290275,,,,,58.4944191,68.73548889,80.55732727,87.67597198,90.09201813,85.16298676,89.3660965
Ukraine,UKR,48.379433,31.16558,,,,,,60.4417305,69.7953186,68.1876297,74.28864288,83.56482,94.58672333
United Arab Emirates,ARE,23.424076,53.847818,,,,,,,,,,104.8522568,103.4084625
United Kingdom,GBR,55.378051,-3.435973,,,,,,,96.2082901,97.61788177,95.81278229,90.83381653,97.52832031
United States,USA,37.09024,-95.712891,52.35,62.6,66.55,73.95,78.4,81.75,84.15,85.45,87.55,103.8461533,92.04360199
Uruguay,URY,-32.522779,-55.765835,,,,,,86.71328735,91.9003067,89.65123,86.26943207,98.19004822,
Vanuatu,VUT,-15.376706,166.959158,,,11.37395,11.37395,11.37395,11.37395,67.47553253,87.24595642,78.30977631,100.3054962,97.6627121
"Venezuela, RB",VEN,6.42375,-66.58973,,,,,,24.36207008,33.69937897,28.55343056,53.80604935,53.10512924,51.12908173
Vietnam,VNM,14.058324,108.277199,,,,53.00328827,54.7004509,58.9890213,65.17489624,70.59487152,74.74874878,76.32649994,77.00556946
Virgin Islands (U.S.),VIR,18.335765,-64.896335,,,,,,97.79358673,99.43019867,96.35150146,106.1308823,108.9731293,104.0740738
"Yemen, Rep.",YEM,15.552727,48.516388,,,,,56.15261841,74.02310181,89.02274323,76.62612915,74.07794189,80.76885223,80.37232971
Zambia,ZMB,-13.133897,27.849332,16.21649933,17.69300079,17.34565926,18.56446,21.56385,24.02536964,26.52638054,41.24898148,57.44393921,55.33306885,54.76887131
Zimbabwe,ZWE,-19.015438,29.154857,,,,,,,,69.94529724,71.12758636,65.41771698,67.99163818
